U1,N1,N2,N111,N112,N121,N122,N131,N132,N141,N142,N211,N212,N221,N222,N231,N232,N241,N242,L
7,6,18,18,62,6,12,8,12,18,62,8,12,8,14,6,18,14,18,1
8,6,8,26,20,8,16,2,6,26,20,4,6,8,14,6,8,6,24,1
9,6,6,18,20,4,4,6,6,18,20,8,4,4,4,4,6,14,16,1
8,18,10,30,24,10,10,12,10,30,24,12,8,8,8,12,10,18,22,1
8,6,18,18,40,6,20,8,22,18,40,8,28,8,20,6,18,26,26,1
8,6,8,18,14,6,8,6,10,18,14,6,12,12,8,6,8,14,24,1
7,18,6,52,16,12,4,10,6,52,16,10,0,16,6,18,6,18,14,1
7,10,12,22,26,6,18,8,2,22,26,6,2,10,30,8,10,16,24,1
9,8,4,18,20,8,2,6,2,18,20,2,6,2,6,8,2,26,12,1
7,16,8,74,22,10,6,10,14,74,22,14,12,14,6,16,8,16,30,1
8,14,4,14,14,4,2,22,6,14,14,14,2,4,0,14,4,14,12,1
9,6,10,20,26,6,8,24,4,20,26,6,6,8,10,6,10,14,24,1
9,8,6,22,12,4,6,4,18,22,12,2,20,10,12,8,6,16,18,1
8,4,18,18,62,10,8,8,8,18,62,10,12,16,16,4,18,12,18,1
7,4,18,12,84,2,14,8,16,12,84,8,20,8,18,4,18,8,18,1
9,10,6,22,22,6,6,14,4,22,22,14,4,6,6,10,6,18,24,1
10,2,6,12,18,2,2,4,2,12,18,4,6,4,4,2,6,14,10,1
8,8,10,18,42,6,6,8,8,18,42,6,10,6,4,6,10,14,22,1
8,8,12,12,62,6,6,6,10,12,62,8,8,8,10,6,12,14,12,1
8,10,14,26,22,10,20,12,14,26,22,12,14,10,14,10,14,22,16,1
8,8,8,20,22,12,6,2,4,20,22,4,4,16,4,8,8,16,14,1
9,2,4,10,12,2,4,4,2,10,12,2,6,2,16,2,2,24,20,1
8,10,12,32,26,8,12,4,16,32,26,12,12,6,12,10,12,20,16,1
9,10,4,26,14,10,6,10,2,26,14,10,2,12,12,10,2,18,14,1
7,4,30,14,30,10,32,2,16,14,30,2,16,12,62,2,30,14,32,1
8,24,6,62,22,12,4,8,4,62,22,8,10,10,4,24,4,24,8,1
8,4,18,12,22,4,44,6,6,12,22,6,6,8,44,2,18,16,18,1
7,8,22,12,74,8,18,10,18,12,74,8,18,6,18,8,22,12,22,1
9,12,6,26,10,12,0,14,4,26,10,12,10,16,8,12,2,30,16,1
9,10,12,18,20,4,6,8,6,18,20,6,8,10,6,6,6,20,20,1
8,8,10,14,22,8,8,4,6,14,22,2,6,2,6,6,10,26,24,1
7,26,8,52,14,26,6,26,6,52,14,26,4,26,8,26,4,26,16,1
8,8,8,24,14,6,4,2,4,24,14,2,4,2,4,8,6,14,16,1
7,6,24,22,74,6,16,10,14,22,74,14,16,14,18,6,24,18,24,1
8,8,12,18,40,8,2,8,2,18,40,10,0,12,14,8,6,16,22,1
